round,ground_truth,emergency_percentage,correct_percentage,loss,softmax_output,hedge_weights
0,1,100.00%,0.00%,0.9158,"[0.5980561971664429, 0.40194377303123474]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,0,50.00%,0.00%,0.7281,"[0.47911423444747925, 0.5208857655525208]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,1,66.67%,0.00%,0.7193,"[0.5098906755447388, 0.4901093542575836]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,0,50.00%,0.00%,0.7393,"[0.4715462327003479, 0.5284537672996521]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4,1,60.00%,20.00%,0.6716,"[0.4978051483631134, 0.502194881439209]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5,1,66.67%,33.33%,0.6250,"[0.4666195213794708, 0.5333804488182068]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,0,57.14%,28.57%,0.8883,"[0.4205998182296753, 0.5794001817703247]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,0,50.00%,25.00%,0.8939,"[0.4110507369041443, 0.5889493227005005]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,0,44.44%,22.22%,0.8630,"[0.42126011848449707, 0.5787398815155029]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,1,50.00%,30.00%,0.6503,"[0.4671723246574402, 0.532827615737915]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,1,54.55%,36.36%,0.6240,"[0.465585857629776, 0.5344140529632568]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,1,58.33%,41.67%,0.5782,"[0.44619062542915344, 0.5538093447685242]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
12,1,61.54%,46.15%,0.6233,"[0.4464932382106781, 0.5535067915916443]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,1,64.29%,50.00%,0.4986,"[0.3827582895755768, 0.6172417402267456]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
14,1,66.67%,53.33%,0.4253,"[0.34173116087913513, 0.6582688093185425]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
15,0,62.50%,50.00%,1.2639,"[0.2815204858779907, 0.718479573726654]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
16,0,58.82%,47.06%,1.3172,"[0.26480633020401, 0.73519366979599]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,0,55.56%,44.44%,1.3850,"[0.24789272248744965, 0.7521073222160339]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18,0,52.63%,42.11%,1.3575,"[0.26146408915519714, 0.7385358810424805]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,1,55.00%,45.00%,0.3352,"[0.2731090188026428, 0.7268909811973572]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
20,1,57.14%,47.62%,0.3203,"[0.27302685379981995, 0.7269731760025024]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
21,1,59.09%,50.00%,0.3244,"[0.268038809299469, 0.7319612503051758]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
22,1,60.87%,52.17%,0.2915,"[0.25475654006004333, 0.745243489742279]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
23,0,58.33%,50.00%,1.4003,"[0.24624687433242798, 0.753753125667572]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
24,0,56.00%,48.00%,1.4526,"[0.2361176460981369, 0.7638823986053467]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
25,1,57.69%,50.00%,0.2155,"[0.25918492674827576, 0.7408150434494019]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
26,1,59.26%,51.85%,0.2492,"[0.22640378773212433, 0.7735962271690369]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
